Timestamp(ms),Current(uA)
11960,57157.750
11970,58870.457
11980,59494.039
11990,59807.637
12000,59903.469
12010,59949.992
12020,59957.578
12030,59885.809
12040,59992.621
12050,59973.590
12060,59974.645
12070,59923.926
12080,59894.906
12090,59911.516
12100,59945.844
12110,59920.336
12120,59879.898
12130,59838.164
12140,59834.484
12150,59871.871
12160,59857.340
12170,59878.148
12180,59879.883
12190,59881.988
12200,59930.457
12210,59923.934
12220,59952.652
12230,60002.434
12240,59923.598
12250,59929.672
12260,59950.332
12270,59927.172
12280,59937.004
12290,59969.133
12300,60027.324
12310,60044.203
12320,59960.117
12330,59958.617
12340,60111.809
12350,60075.383
12360,60112.105
12370,60086.297
12380,60048.906
12390,60012.152
12400,60006.746
12410,60014.164
12420,59952.688
12430,60003.047
12440,59965.316
12450,59875.594
12460,59806.906
12470,59820.625
12480,59858.199
12490,59869.750
12500,59794.027
12510,59800.840
12520,59849.836
12530,59954.043
12540,59966.297
12550,59670.055
12560,59245.863
12570,59140.633
12580,52533.301
12590,47906.770
12600,46201.699
12610,45576.871
12620,45353.574
12630,45258.391
12640,45241.566
12650,45228.582
12660,45211.105
12670,45212.031
12680,45205.605
12690,45201.371
12700,46205.332
12710,45598.402
12720,45372.414
12730,45277.160
12740,45227.777
12750,45218.867
12760,45213.402
12770,45209.672
12780,45229.137
12790,45221.387
12800,45200.051
12810,45225.813
12820,45215.785
12830,45388.742
12840,45277.852
12850,45219.184
12860,45205.297
12870,45197.219
12880,45188.656
12890,45203.445
12900,45196.957
12910,45191.336
12920,45200.492
12930,45197.836
12940,45191.863
12950,46508.434
12960,45674.406
12970,45378.234
12980,45276.633
12990,45241.656
13000,45214.969
13010,45212.598
13020,45204.797
13030,45197.199
13040,45206.633
13050,45208.051
13060,45201.934
13070,45649.348
13080,45364.680
13090,45257.133
13100,45219.656
13110,45207.289
13120,45198.746
13130,45219.242
13140,45221.484
13150,45227.477
13160,45201.023
13170,45202.438
13180,45197.641
13190,45201.066
13200,45389.922
13210,45255.797
13220,45222.078
13230,45225.965
13240,45221.234
13250,45226.199
13260,45219.820
13270,45222.719
13280,45212.910
13290,45215.719
13300,45200.000
13310,45190.395
13320,46552.207
13330,45702.121
13340,45388.375
13350,45274.633
13360,45237.609
13370,45203.910
13380,45198.453
13390,45183.891
13400,45177.797
13410,45194.223
13420,45190.953
13430,45196.961
13440,45557.703
13450,45358.828
13460,45238.430
13470,45178.891
13480,45165.398
13490,45169.680
13500,45172.105
13510,45158.688
13520,45158.027
13530,45155.055
13540,45165.336
13550,45174.070
13560,45169.609
13570,45223.258
13580,45183.160
13590,45183.367
13600,45191.398
13610,45186.863
13620,45179.754
13630,45194.156
13640,45188.637
13650,45182.680
13660,45182.445
13670,53842.801
13680,57632.828
13690,59016.215
13700,59428.871
13710,59680.074
13720,59736.625
13730,59770.332
13740,59815.605
13750,59808.859
13760,59817.605
13770,59763.449
13780,59773.004
13790,59820.457
13800,59765.297
13810,59782.230
13820,59844.430
13830,59808.340
13840,59779.676
13850,59790.277
13860,59903.676
13870,59839.297
13880,59842.422
13890,59765.578
13900,59731.859
13910,59819.008
13920,59821.324
13930,59862.281
13940,59815.043
13950,59877.441
13960,59879.938
13970,59836.414
13980,59844.441
13990,59796.199
14000,59776.605
14010,59823.508
14020,59826.082
14030,59835.316
14040,59891.125
14050,59897.047
14060,59817.121
14070,59838.227
14080,59952.344
14090,59965.852
14100,60001.344
14110,59968.891
14120,59895.633
14130,59892.371
14140,59997.074
14150,60038.621
14160,60024.621
14170,59882.051
14180,59932.250
14190,59936.809
14200,59926.129
14210,59957.160
14220,59969.660
14230,59974.684
14240,60003.906
14250,59998.949
14260,59955.066
14270,59618.367
14280,59267.551
14290,59130.098
14300,51240.227
14310,47413.914
14320,46013.230
14330,45501.328
14340,45301.543
14350,45233.305
14360,45213.785
14370,45197.141
14380,45199.918
14390,45182.594
14400,45188.586
14410,45182.500
14420,46055.141
14430,45511.813
14440,45308.047
14450,45246.586
14460,45208.828
14470,45205.895
14480,45183.906
14490,45188.133
14500,45208.453
14510,45206.125
14520,45201.188
14530,45201.836
14540,45560.574
14550,45351.813
14560,45251.547
14570,45224.398
14580,45203.051
14590,45184.156
14600,45178.699
14610,45192.777
14620,45182.516
14630,45179.883
14640,45173.551
14650,45182.762
14660,45174.547
14670,46260.199
14680,45585.078
14690,45329.594
14700,45251.172
14710,45215.836
14720,45196.758
14730,45192.832
14740,45203.188
14750,45199.336
14760,45200.410
14770,45194.684
14780,45195.758
14790,45579.637
14800,45317.172
14810,45236.879
14820,45208.922
14830,45200.234
14840,45192.727
14850,45196.551
14860,45199.352
14870,45191.645
14880,45183.590
14890,45180.168
14900,45191.383
14910,45510.316
14920,45366.344
14930,45264.781
14940,45226.637
14950,45207.676
14960,45191.430
14970,45197.828
14980,45197.785
14990,45175.742
15000,45183.113
15010,45178.316
15020,45177.508
15030,45169.855
15040,46288.734
15050,45600.426
15060,45339.699
15070,45254.191
15080,45205.293
15090,45187.938
15100,45173.766
15110,45186.766
15120,45180.094
15130,45188.219
15140,45197.359
15150,45199.004
15160,45579.230
15170,45341.238
15180,45236.363
15190,45200.648
15200,45195.488
15210,45200.840
15220,45212.859
15230,45177.281
15240,45170.672
15250,45181.215
15260,45174.219
15270,45200.410
15280,45238.891
15290,45232.656
15300,45194.676
15310,45190.891
15320,45210.680
15330,45206.328
15340,45204.734
15350,45200.766
15360,45191.809
15370,45194.273
15380,45197.602
15390,54888.180
15400,57925.820
15410,59106.402
15420,59588.566
15430,59686.973
15440,59853.125
15450,59863.965
15460,59827.797
15470,59765.445
15480,59845.402
15490,59745.750
15500,59777.637
15510,59810.016
15520,59889.816
15530,59958.371
15540,59929.621
15550,59859.230
15560,59777.863
15570,59779.473
15580,59841.574
15590,59879.152
15600,59897.555
15610,59933.051
15620,59895.484
15630,59852.984
15640,59839.563
15650,59793.477
15660,59915.465
15670,59913.305
15680,59952.133
15690,60026.230
15700,60110.230
15710,60100.465
15720,60043.453
15730,59986.945
15740,59945.984
15750,60022.254
15760,59986.836
15770,60030.578
15780,59950.227
15790,59990.867
15800,59943.031
15810,59995.934
15820,59960.957
15830,59998.730
15840,60061.117
15850,60152.875
15860,60099.742
15870,59964.570
15880,59902.164
15890,59909.672
15900,59872.371
15910,59951.473
15920,59921.809
15930,59883.789
15940,59948.730
15950,59926.168
15960,59991.352
15970,60028.531
15980,59959.973
15990,59264.324
16000,59088.207
16010,58936.867
16020,50034.605
16030,46981.813
16040,45877.930
16050,45463.898
16060,45300.125
16070,45247.465
16080,45234.875
16090,45231.230
16100,45220.543
16110,45200.105
16120,45199.219
16130,45190.164
16140,45933.297
16150,45465.168
16160,45295.219
16170,45241.445
16180,45200.422
16190,45200.121
16200,45206.426
16210,45196.367
16220,45198.719
16230,45192.910
16240,45183.559
16250,45193.031
16260,45527.754
16270,45333.227
16280,45247.785
16290,45226.348
16300,45219.625
16310,45211.977
16320,45203.699
16330,45206.680
16340,45202.359
16350,45205.012
16360,45212.906
16370,45210.035
16380,45902.418
16390,46094.012
16400,45542.555
16410,45336.051
16420,45261.301
16430,45226.777
16440,45210.199
16450,45193.277
16460,45210.676
16470,45215.805
16480,45220.188
16490,45221.000
16500,45218.664
16510,45535.809
16520,45330.793
16530,45256.016
16540,45240.133
16550,45224.898
16560,45211.680
16570,45227.465
16580,45232.441
16590,45206.770
16600,45198.832
16610,45196.004
16620,45205.500
16630,45550.305
16640,45333.273
16650,45249.137
16660,45218.094
16670,45228.293
16680,45210.891
16690,45214.777
16700,45201.746
16710,45219.352
16720,45219.070
16730,45225.156
16740,45210.789
16750,45242.320
16760,46122.586
16770,45559.727
16780,45339.910
16790,45251.996
16800,45212.191
16810,45200.941
16820,45203.043
16830,45192.598
16840,45208.691
16850,45217.836
16860,45209.211
16870,45213.523
16880,45533.066
16890,45320.215
16900,45257.883
16910,45224.121
16920,45213.840
16930,45226.582
16940,45231.293
16950,45211.688
16960,45202.113
16970,45196.578
16980,45182.348
16990,45191.879
17000,45272.535
17010,45228.145
17020,45205.809
17030,45193.445
17040,45219.191
17050,45221.152
17060,45220.859
17070,45214.340
17080,45231.859
17090,45212.383
17100,48265.004
17110,55857.355
17120,58440.246
17130,59411.133
17140,59682.098
17150,59796.512
17160,59824.324
17170,59860.082
17180,59881.078
17190,59848.301
17200,59895.965
17210,59813.930
17220,59852.301
17230,59824.797
17240,59880.023
17250,59800.086
17260,59963.012
17270,59969.500
17280,59995.934
17290,59988.430
17300,59909.305
17310,59938.461
17320,59970.793
17330,59873.230
17340,59917.434
17350,59892.305
17360,60016.012
17370,59960.672
17380,59944.113
17390,59948.590
17400,59874.059
